id,piston_velocity_phase1,metal_velocity_gate,fill_time,phase_transition_position,intensification_time_phase3,intensification_pressure,solidification_time,cycle_time,sleeve_fill_percentage,sleeve_diameter,sleeve_length,plunger_lubricant,plunger_sleeve_clearance,sleeve_temperature,plunger_temperature,blisters_post_treatment,surface_blisters,die_sticking,flow_lines,surface_streaks,cold_shut,heat_cracks,ejector_pin_marks,die_soldering,surface_oxide_inclusions,low_tensile_strength,low_elongation,low_ultimate_strength,low_fatigue_resistance,low_surface_hardness,density_deviation,incomplete_fill,flash,warpage,shrinkage_porosity,volumetric_variation,dimensional_deviation,gas_porosity,gas_bubbles,internal_shrinkage,cracks,hard_inclusions,oxide_inclusions,total_defects,has_defect
1256,0.24,3.78,36.82,176.6,6.07,88.43,20.38,73.79,44.08,49.2,123.8,0.0,0.12,182.41,166.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1257,0.22,3.6,33.17,174.65,7.12,98.3,22.77,61.68,48.44,46.38,129.83,0.0,0.11,188.66,178.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1258,0.22,3.57,32.52,179.16,6.12,111.81,19.56,75.97,42.08,48.64,121.72,0.0,0.1,193.41,176.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1259,0.22,3.57,34.59,175.78,7.47,111.71,15.18,62.33,49.72,46.58,128.8,0.0,0.09,197.09,161.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1260,0.23,3.57,36.15,179.67,5.37,100.29,15.52,69.64,46.21,49.21,127.3,0.0,0.1,198.18,166.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1261,0.21,3.75,37.72,173.55,7.74,83.89,24.91,75.52,48.53,47.53,127.31,0.0,0.09,195.22,172.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1262,0.22,3.69,32.31,175.71,7.78,81.95,24.51,76.96,47.58,49.19,125.06,0.0,0.09,185.65,174.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1263,0.21,3.77,39.66,174.75,5.26,87.65,16.71,89.44,45.99,49.47,121.41,0.0,0.12,196.07,179.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1264,0.23,3.75,33.3,170.62,7.14,115.77,22.13,61.71,43.78,49.34,129.62,0.0,0.09,193.87,170.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1265,0.21,3.66,32.85,173.77,5.81,112.49,20.33,69.21,41.99,49.09,126.05,0.0,0.12,195.42,174.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1266,0.21,3.57,34.11,178.02,6.21,103.45,20.37,84.54,49.15,48.02,128.48,0.0,0.09,186.04,174.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1267,0.24,3.58,37.38,176.41,6.32,104.25,17.16,87.57,42.9,48.01,124.44,0.0,0.08,191.75,177.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1268,0.2,3.75,33.04,173.7,7.41,112.57,19.0,76.61,46.79,48.44,125.34,0.0,0.11,196.83,176.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1269,0.24,3.75,39.25,174.87,7.29,113.71,23.58,65.46,42.1,46.35,124.36,0.0,0.08,182.16,178.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1270,0.2,3.76,33.26,171.14,6.56,111.4,20.95,76.34,45.77,48.2,128.48,0.0,0.1,187.9,179.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1271,0.22,3.56,35.71,174.07,6.82,80.09,21.08,78.31,42.44,48.41,125.47,0.0,0.11,198.51,172.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1272,0.21,3.69,32.51,176.01,7.98,82.45,21.22,75.75,45.65,45.71,128.14,0.0,0.11,186.8,161.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1273,0.21,3.63,37.79,172.47,6.38,83.09,17.08,87.45,40.38,47.72,124.38,0.0,0.09,191.08,171.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1274,0.24,3.74,38.45,177.08,7.21,100.38,15.23,73.75,42.07,47.78,129.7,0.0,0.09,192.2,162.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1275,0.23,3.56,38.71,177.26,5.65,106.14,23.56,80.08,43.66,49.79,120.07,0.0,0.08,185.91,167.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1276,0.22,3.8,36.03,171.75,7.73,105.57,23.32,64.55,42.7,49.83,124.19,0.0,0.12,188.72,170.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1277,0.23,3.51,37.24,179.8,5.46,84.86,17.42,74.58,44.44,46.1,126.65,0.0,0.08,190.37,165.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1278,0.24,3.5,35.38,174.7,6.49,92.53,22.38,62.58,47.66,47.82,125.19,0.0,0.1,188.34,164.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1279,0.22,3.67,35.21,174.46,7.34,107.25,19.86,82.08,49.27,45.79,124.14,0.0,0.09,199.14,177.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1280,0.24,3.73,32.28,179.22,6.78,95.2,20.02,78.15,45.6,47.43,125.05,0.0,0.09,196.25,170.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1281,0.21,3.72,37.14,170.11,6.91,87.82,24.47,64.7,43.66,48.42,128.8,0.0,0.09,194.16,173.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1282,0.24,3.6,32.38,173.36,6.11,81.14,23.33,69.01,43.29,48.76,122.62,0.0,0.11,199.96,165.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1283,0.2,3.64,37.36,178.33,6.16,91.91,23.34,77.55,45.04,49.78,127.57,0.0,0.12,180.78,176.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1284,0.22,3.58,35.9,175.32,5.24,98.35,17.66,63.47,49.5,45.94,120.65,0.0,0.09,184.99,178.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1285,0.23,3.52,33.88,174.54,5.86,119.83,21.61,56.58,48.94,45.07,125.33,0.0,0.11,199.28,165.18,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,5,1
1286,0.22,3.6,31.95,176.49,7.02,113.17,23.75,81.13,46.87,45.28,121.1,0.0,0.11,184.66,167.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1287,0.25,3.55,38.85,179.55,7.41,112.9,17.71,61.42,48.55,45.64,129.68,0.0,0.1,194.76,160.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1288,0.24,3.68,32.71,170.45,6.42,101.96,17.69,60.03,45.65,48.44,124.68,0.0,0.09,195.74,172.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1289,0.23,3.63,34.95,177.9,7.61,112.23,16.7,73.51,47.63,46.11,126.83,0.0,0.08,183.96,178.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1290,0.25,3.73,31.01,170.82,5.78,84.54,20.18,87.43,49.68,49.03,122.78,0.0,0.09,195.49,175.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1291,0.25,3.8,30.29,173.76,5.9,83.72,23.97,65.94,42.62,46.98,125.52,0.0,0.1,193.77,175.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1292,0.23,3.78,34.42,172.56,6.81,87.98,18.63,66.98,49.79,45.06,126.6,0.0,0.11,193.22,164.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1293,0.22,3.5,38.86,172.65,6.39,119.3,22.66,62.3,49.96,49.91,126.64,0.0,0.11,188.48,176.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1294,0.25,3.59,31.24,175.33,7.96,98.66,23.38,67.81,41.92,45.17,122.92,0.0,0.09,185.27,164.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1295,0.2,3.69,38.42,176.08,6.93,117.31,22.18,73.88,48.43,48.36,128.48,0.0,0.08,194.55,170.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1296,0.23,3.75,35.82,172.19,5.19,89.1,21.87,86.92,46.57,47.47,122.01,0.0,0.09,189.62,179.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1297,0.2,3.6,30.8,178.54,6.5,101.24,19.8,61.82,48.83,47.52,122.29,0.0,0.09,184.21,168.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1298,0.21,3.73,34.2,174.81,7.71,88.72,24.75,81.01,43.74,45.83,128.14,0.0,0.11,191.38,177.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1299,0.21,3.66,30.5,172.77,5.87,92.99,15.41,84.68,48.28,49.63,121.8,0.0,0.09,186.57,172.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1300,0.24,3.75,32.62,175.2,5.17,87.76,20.67,66.98,40.51,49.45,122.32,0.0,0.11,188.45,174.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1301,0.2,3.73,30.67,175.45,7.66,111.23,18.34,71.96,45.14,47.45,127.86,0.0,0.1,184.69,169.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1302,0.22,3.65,37.37,175.37,5.09,105.09,24.54,81.28,48.92,46.06,125.14,0.0,0.1,192.8,162.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1303,0.24,3.79,37.56,173.94,6.27,90.82,20.98,79.2,41.61,47.54,124.45,0.0,0.11,194.93,171.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1304,0.22,3.55,34.12,178.37,6.13,91.86,20.88,87.06,49.39,48.14,122.57,0.0,0.09,195.69,167.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1305,0.21,3.7,35.56,176.05,7.55,101.79,18.5,63.64,47.16,46.03,127.7,0.0,0.08,188.77,166.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1306,0.22,3.65,36.72,176.51,7.82,108.33,22.82,78.94,44.05,49.34,129.84,0.0,0.08,197.07,178.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1307,0.25,3.59,30.37,179.66,7.86,107.77,17.67,65.3,48.36,47.02,124.81,0.0,0.09,193.57,165.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1308,0.21,3.72,34.03,179.96,5.64,82.33,24.8,67.32,46.35,46.87,126.4,0.0,0.1,194.15,160.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1309,0.22,3.65,39.45,175.58,5.46,112.51,20.01,89.47,49.43,47.95,121.98,0.0,0.11,194.38,179.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1310,0.21,3.68,38.37,174.0,6.78,80.41,18.51,78.63,49.91,46.39,121.75,0.0,0.12,191.25,179.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1311,0.24,3.75,34.72,179.03,5.68,82.79,24.51,77.41,45.18,46.59,122.85,0.0,0.09,192.41,160.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1312,0.23,3.61,39.99,174.59,6.87,103.99,20.19,87.57,40.04,45.07,124.16,0.0,0.11,189.13,174.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1313,0.25,3.59,36.37,174.25,7.77,112.83,17.69,60.72,40.82,49.33,124.26,0.0,0.12,180.97,165.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1314,0.24,3.76,35.55,173.48,6.0,88.24,23.19,79.7,40.29,48.26,127.3,0.0,0.08,196.4,160.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1315,0.21,3.51,30.03,173.61,5.75,112.89,18.12,75.14,40.36,45.9,121.48,0.0,0.11,194.75,167.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1316,0.23,3.65,30.15,177.84,6.8,100.83,19.84,85.2,49.01,49.19,127.43,0.0,0.1,188.76,166.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1317,0.21,3.66,37.08,176.92,7.96,116.82,23.65,66.06,42.0,45.89,127.58,0.0,0.1,180.31,162.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1318,0.24,3.71,37.38,175.61,7.98,92.0,19.74,73.85,40.25,48.41,126.77,0.0,0.11,180.59,167.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1319,0.25,3.77,38.4,176.5,5.51,110.79,23.79,82.53,45.86,48.72,123.66,0.0,0.09,186.76,177.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1320,0.21,3.66,33.95,173.22,6.83,84.59,23.68,83.09,47.16,48.04,125.94,0.0,0.08,187.46,160.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321,0.21,3.66,37.43,172.93,5.62,100.68,16.07,89.42,46.17,46.39,128.92,0.0,0.11,197.23,170.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322,0.24,3.53,38.23,171.69,5.88,91.19,20.06,76.56,42.33,46.76,123.5,0.0,0.12,195.93,173.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1323,0.24,3.76,38.03,173.77,7.42,100.96,18.43,66.12,46.93,46.52,122.64,0.0,0.1,185.13,166.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1324,0.22,3.53,37.69,172.05,7.79,80.28,21.27,66.41,48.81,46.15,129.28,0.0,0.11,186.81,161.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1325,0.23,3.71,37.53,174.54,5.85,116.05,20.34,61.65,40.5,48.72,126.17,0.0,0.1,193.28,171.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1326,0.25,3.73,31.21,179.91,6.79,91.98,23.18,61.44,46.54,45.8,120.88,0.0,0.09,187.13,172.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1327,0.21,3.73,31.78,176.08,5.72,107.08,16.65,86.11,45.71,46.93,129.59,0.0,0.09,195.02,173.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1328,0.2,3.51,32.47,173.37,7.59,111.36,22.11,69.11,47.56,47.28,127.7,0.0,0.1,194.22,178.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1329,0.21,3.61,31.36,177.87,6.1,106.65,20.74,83.22,42.99,49.01,126.49,0.0,0.08,196.52,175.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1330,0.22,3.74,31.25,172.49,6.32,115.17,17.84,85.31,41.02,45.87,121.58,0.0,0.1,187.77,177.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1331,0.24,3.53,33.35,176.08,6.54,82.92,22.16,71.25,49.34,46.38,129.81,0.0,0.12,194.81,164.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1332,0.23,3.63,37.9,178.89,7.81,86.51,21.08,77.26,40.43,45.89,126.96,0.0,0.09,185.59,177.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1333,0.22,3.51,38.91,175.89,5.73,113.68,12.06,78.07,31.15,45.37,128.74,0.0,0.11,182.18,160.16,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,5,1
1334,0.23,3.55,34.28,179.22,6.91,83.25,21.69,72.69,43.63,46.94,123.29,0.0,0.11,183.15,171.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1335,0.23,3.61,34.13,172.77,6.49,102.23,29.57,79.31,47.93,49.68,124.77,0.0,0.12,156.0,168.67,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,5,1
1336,0.24,3.55,38.16,179.38,6.35,84.92,17.66,61.57,48.47,48.76,128.1,0.0,0.09,191.46,177.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1337,0.24,3.51,38.75,170.36,6.41,108.07,19.65,77.93,42.75,47.12,123.61,0.0,0.09,180.24,170.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1338,0.21,3.55,30.91,171.09,5.48,112.1,18.5,77.03,42.95,45.11,126.59,0.0,0.08,188.78,171.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1339,0.21,3.68,31.52,171.14,7.36,108.51,23.73,76.97,42.57,48.68,124.75,0.0,0.1,183.86,175.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1340,0.23,3.72,31.84,178.41,7.5,98.75,24.32,82.41,46.74,49.42,125.4,0.0,0.1,192.7,168.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1341,0.22,3.64,30.76,172.16,5.21,95.89,15.32,89.6,47.18,47.31,129.43,0.0,0.08,193.97,174.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1342,0.23,3.67,30.03,171.83,6.72,117.61,15.71,68.17,49.06,45.95,122.42,0.0,0.1,190.19,170.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1343,0.25,3.58,35.49,177.34,5.18,90.87,24.24,78.76,47.97,46.89,123.0,0.0,0.09,199.29,178.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1344,0.25,3.53,39.11,173.84,5.67,94.69,17.49,64.11,43.31,45.0,123.38,0.0,0.1,185.57,178.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1345,0.24,3.52,33.69,175.06,6.68,109.14,18.55,78.38,45.85,47.74,126.4,0.0,0.09,181.69,162.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1346,0.23,3.72,32.32,176.4,5.24,105.06,17.3,73.46,40.51,48.71,127.13,0.0,0.09,180.66,166.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1347,0.21,3.53,30.72,178.43,5.5,102.59,21.47,63.04,45.91,48.1,122.48,0.0,0.12,199.31,177.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1348,0.22,3.65,36.65,178.45,5.6,96.11,22.32,73.78,44.33,48.82,125.72,0.0,0.1,197.68,172.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1349,0.24,3.6,38.55,178.52,5.61,96.02,19.81,84.67,41.03,46.66,121.99,0.0,0.11,185.37,160.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1350,0.25,3.7,32.7,173.24,6.03,92.01,16.18,89.54,45.32,48.78,127.57,0.0,0.09,195.58,164.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1351,0.24,3.76,37.45,178.7,6.21,112.57,22.3,70.16,44.74,49.91,122.65,0.0,0.1,197.2,167.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1352,0.25,3.73,37.01,176.59,6.04,104.18,15.58,63.59,47.69,48.74,128.5,0.0,0.12,190.35,169.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1353,0.22,3.69,36.09,170.71,5.19,118.61,16.52,68.83,47.68,47.05,121.81,0.0,0.1,191.38,169.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1354,0.25,3.5,35.88,174.56,5.23,100.09,19.81,61.37,46.23,49.8,127.53,0.0,0.12,192.08,176.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1355,0.23,3.63,34.77,178.35,5.35,116.21,17.32,80.72,45.56,48.82,121.53,0.0,0.11,193.01,175.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1356,0.25,3.69,36.35,178.51,6.36,112.46,23.35,80.84,48.9,49.76,124.99,0.0,0.09,192.89,173.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1357,0.2,3.68,32.1,172.12,7.17,117.61,18.08,63.25,44.05,46.41,123.28,0.0,0.12,189.51,164.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1358,0.2,3.59,30.57,175.81,7.35,103.66,21.15,68.4,43.62,45.61,124.67,0.0,0.09,182.54,176.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1359,0.21,3.75,35.82,174.11,7.2,94.01,15.02,62.68,40.6,46.1,129.1,0.0,0.09,191.69,175.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1360,0.2,3.67,34.8,172.52,7.95,99.26,24.86,79.14,46.39,49.06,128.57,0.0,0.06,197.22,169.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1
1361,0.21,3.69,32.59,177.94,7.38,117.25,16.12,87.67,46.88,48.09,128.48,0.0,0.11,182.4,162.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1362,0.22,3.6,39.42,171.38,7.15,119.7,23.85,86.62,45.84,45.51,120.44,0.0,0.11,198.78,178.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1363,0.21,3.53,31.1,174.69,5.9,119.11,16.67,60.93,47.22,47.79,122.18,0.0,0.1,188.9,177.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1364,0.24,3.6,32.28,177.16,6.98,86.83,17.73,72.03,49.95,48.51,120.63,0.0,0.09,196.44,169.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1365,0.22,3.51,34.08,172.98,6.79,94.1,24.09,66.05,40.31,47.4,121.8,0.0,0.1,198.97,161.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
